Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
2017-01-01 00:00:00,1.308,2.059,4.878,4.200,30.68,26.080
2017-01-01 00:30:00,1.319,2.159,5.263,4.375,28.65,25.990
2017-01-01 01:00:00,1.216,1.852,4.651,4.288,26.54,25.990
2017-01-01 01:30:00,1.182,1.940,4.762,4.155,30.15,25.890
2017-01-01 02:00:00,1.188,1.836,5.000,4.180,31.73,25.890
2017-01-01 02:30:00,1.116,1.810,5.000,4.203,39.38,25.800
2017-01-01 03:00:00,1.124,2.046,5.000,4.460,34.63,25.750
2017-01-01 03:30:00,1.117,1.693,5.000,4.340,30.24,25.800
2017-01-01 04:00:00,0.989,1.843,4.762,4.173,28.57,25.750
2017-01-01 04:30:00,1.002,1.529,7.143,4.015,39.29,25.840
2017-01-01 05:00:00,1.030,1.804,5.263,4.124,144.35,25.840
2017-01-01 05:30:00,0.976,1.810,8.000,4.158,76.92,25.800
2017-01-01 06:00:00,0.868,1.569,5.556,3.623,78.68,25.800
2017-01-01 06:30:00,0.963,1.677,7.143,3.929,83.51,25.750
2017-01-01 07:00:00,0.899,1.530,7.692,3.822,79.47,25.660
2017-01-01 07:30:00,0.871,1.576,7.407,3.650,82.10,25.660
2017-01-01 08:00:00,0.871,1.536,7.692,3.743,80.08,25.660
2017-01-01 08:30:00,0.881,1.631,7.407,3.467,82.98,25.750
2017-01-01 09:00:00,0.844,1.542,6.667,3.583,76.39,25.750
2017-01-01 09:30:00,0.875,1.611,6.897,3.690,75.33,25.840
2017-01-01 10:00:00,0.844,1.662,6.897,3.851,71.82,25.890
2017-01-01 10:30:00,0.907,1.680,7.407,4.384,78.15,25.990
2017-01-01 11:00:00,0.872,1.883,6.897,4.280,68.57,26.220
2017-01-01 11:30:00,0.909,1.659,6.250,4.413,69.62,26.170
2017-01-01 12:00:00,0.880,1.592,6.250,4.585,72.52,26.270
2017-01-01 12:30:00,0.981,1.819,6.250,4.743,67.86,26.550
2017-01-01 13:00:00,0.945,1.821,7.143,4.379,73.22,26.320
2017-01-01 13:30:00,0.976,1.999,7.407,4.237,77.27,26.360
2017-01-01 14:00:00,0.944,1.681,6.452,4.008,70.68,26.320
2017-01-01 14:30:00,0.976,1.539,6.452,3.990,75.86,26.360
2017-01-01 15:00:00,1.035,1.859,7.143,3.876,76.48,26.270
2017-01-01 15:30:00,1.139,2.273,6.250,4.162,74.81,26.270
2017-01-01 16:00:00,1.118,1.752,7.407,4.094,78.15,26.170
2017-01-01 16:30:00,1.208,2.444,6.667,4.234,77.09,26.220
2017-01-01 17:00:00,1.210,1.902,6.667,4.303,43.25,26.170
2017-01-01 17:30:00,1.239,1.863,6.452,4.271,74.90,26.130
2017-01-01 18:00:00,1.256,1.990,6.897,4.240,77.88,26.130
2017-01-01 18:30:00,1.206,2.517,6.452,4.273,75.69,26.080
2017-01-01 19:00:00,1.134,1.685,6.667,4.445,77.97,26.130
2017-01-01 19:30:00,1.200,1.890,5.882,4.534,79.38,26.460
2017-01-01 20:00:00,1.249,2.014,4.651,4.424,65.40,26.600
2017-01-01 20:30:00,1.191,2.412,5.556,4.237,77.36,26.600
2017-01-01 21:00:00,1.190,2.385,5.556,4.417,86.76,26.600
2017-01-01 21:30:00,1.226,2.069,6.250,4.244,81.05,26.600
2017-01-01 22:00:00,1.279,2.255,6.250,4.476,79.82,26.550
2017-01-01 22:30:00,1.309,2.255,5.128,4.391,80.43,26.600
2017-01-01 23:00:00,1.194,1.955,5.405,4.397,70.94,26.550
2017-01-01 23:30:00,1.183,2.001,5.263,4.586,67.95,26.550
2017-01-02 00:00:00,1.140,1.749,5.882,4.552,62.94,26.600
2017-01-02 00:30:00,1.136,1.862,5.263,4.375,58.98,26.600
2017-01-02 01:00:00,1.132,2.175,5.263,4.498,52.48,26.650
2017-01-02 01:30:00,1.129,2.160,5.263,4.423,58.37,26.650
2017-01-02 02:00:00,1.072,1.826,5.556,4.457,60.39,26.600
2017-01-02 02:30:00,1.084,1.914,10.526,4.659,56.52,26.600
2017-01-02 03:00:00,1.089,1.883,6.061,4.483,59.16,26.550
2017-01-02 03:30:00,1.033,1.706,5.714,4.534,56.96,26.550
2017-01-02 04:00:00,1.068,1.802,6.061,4.564,54.06,26.510
2017-01-02 04:30:00,0.968,1.555,6.452,4.423,58.02,26.410
2017-01-02 05:00:00,0.994,1.575,6.061,4.421,145.84,26.410
2017-01-02 05:30:00,0.965,1.667,5.882,4.301,63.64,26.460
2017-01-02 06:00:00,0.999,1.880,6.897,4.305,74.19,26.460
2017-01-02 06:30:00,0.947,1.499,6.061,4.162,61.88,26.410
2017-01-02 07:00:00,0.998,1.580,6.897,4.290,60.74,26.410
2017-01-02 07:30:00,0.956,1.898,6.250,4.554,54.68,26.360
