Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2019-01-01 00:00:00,1.331,2.275,5.816,8.690,78.91,25.990
2019-01-01 00:30:00,1.361,2.414,5.955,8.690,80.23,25.990
2019-01-01 01:00:00,1.545,2.984,6.216,8.690,77.06,25.940
2019-01-01 01:30:00,1.485,2.161,6.159,9.090,80.41,25.940
2019-01-01 02:00:00,1.504,2.894,6.056,8.690,80.76,25.940
2019-01-01 02:30:00,1.429,2.403,5.881,8.330,67.92,25.890
2019-01-01 03:00:00,1.439,2.256,6.071,8.690,70.12,25.890
2019-01-01 03:30:00,1.530,2.618,6.434,9.090,77.77,25.890
2019-01-01 04:00:00,1.593,2.836,6.481,8.330,75.92,25.890
2019-01-01 04:30:00,1.520,2.749,6.283,9.090,73.28,25.890
2019-01-01 05:00:00,1.495,2.302,6.359,8.690,73.90,25.890
2019-01-01 05:30:00,1.450,2.443,6.113,8.330,75.22,25.890
2019-01-01 06:00:00,1.498,2.534,6.506,8.690,76.10,25.890
2019-01-01 06:30:00,1.526,2.600,6.276,9.520,73.64,25.890
2019-01-01 07:00:00,1.471,2.508,6.306,8.690,76.45,25.890
2019-01-01 07:30:00,1.469,2.893,6.211,8.690,83.48,25.890
2019-01-01 08:00:00,1.429,2.502,6.234,8.690,80.05,25.890
2019-01-01 08:30:00,1.495,2.287,6.491,9.090,75.75,25.940
2019-01-01 09:00:00,1.457,2.309,6.317,8.690,75.48,25.990
2019-01-01 09:30:00,1.508,2.861,6.608,9.520,73.64,26.030
2019-01-01 10:00:00,1.442,2.250,6.635,9.090,84.63,26.030
2019-01-01 10:30:00,1.427,2.162,6.667,9.090,74.52,26.130
2019-01-01 11:00:00,1.373,2.340,6.730,9.090,79.17,26.270
2019-01-01 11:30:00,1.307,2.266,6.571,9.090,84.80,26.360
2019-01-01 12:00:00,1.354,2.151,6.987,9.090,75.04,26.460
2019-01-01 12:30:00,1.458,2.542,6.989,9.090,73.99,26.460
2019-01-01 13:00:00,1.367,2.173,6.872,9.090,84.10,26.510
2019-01-01 13:30:00,1.380,2.243,7.118,8.690,79.00,26.510
2019-01-01 14:00:00,1.495,2.570,7.242,9.090,83.83,26.650
2019-01-01 14:30:00,1.409,2.511,7.073,9.090,81.02,26.650
2019-01-01 15:00:00,1.315,2.160,7.164,9.090,78.56,26.600
2019-01-01 15:30:00,1.305,1.993,6.954,8.690,76.27,26.600
2019-01-01 16:00:00,1.319,2.093,7.205,9.090,75.04,26.550
2019-01-01 16:30:00,1.406,2.495,7.188,9.520,78.47,26.510
2019-01-01 17:00:00,1.395,2.121,7.414,9.090,78.47,26.460
2019-01-01 17:30:00,1.419,2.469,7.256,9.090,80.32,26.410
2019-01-01 18:00:00,1.370,2.341,6.964,9.090,81.99,26.320
2019-01-01 18:30:00,1.349,2.553,7.151,9.090,82.43,26.270
2019-01-01 19:00:00,1.397,2.301,7.223,10.000,80.76,26.220
2019-01-01 19:30:00,1.353,2.398,7.036,9.090,81.20,26.170
2019-01-01 20:00:00,1.401,2.138,7.148,9.090,85.24,26.030
2019-01-01 20:30:00,1.318,2.003,7.104,9.520,82.34,25.990
2019-01-01 21:00:00,1.256,2.025,6.529,9.090,70.30,25.990
2019-01-01 21:30:00,1.296,1.985,6.554,9.520,84.98,25.890
2019-01-01 22:00:00,1.318,2.360,6.731,9.090,81.11,26.030
2019-01-01 22:30:00,1.333,2.326,6.543,9.520,79.97,26.030
2019-01-01 23:00:00,1.353,2.264,6.572,8.690,79.79,26.080
