Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/1/2017 0:00,1.015,1.88,5.01,5.513,57.12,21.85
1/1/2017 0:30,1.003,1.62,4.904,7.501,63.12,21.75
1/1/2017 1:00,0.939,1.73,4.867,5.462,63.12,21.75
1/1/2017 1:30,0.976,1.81,4.98,7.279,60.12,21.7
1/1/2017 2:00,0.949,1.82,4.888,5.428,75.12,21.95
1/1/2017 2:30,0.977,1.96,4.946,5.63,61.12,22.05
1/1/2017 3:00,0.879,1.39,4.745,5.651,56.12,21.85
1/1/2017 3:30,0.901,1.41,4.736,5.83,68.12,21.7
1/1/2017 4:00,0.899,1.39,4.758,5.231,61.12,21.65
1/1/2017 4:30,0.886,1.6,4.604,5.354,54.12,21.6
1/1/2017 5:00,0.869,1.48,4.62,5.385,56.12,21.55
1/1/2017 5:30,0.94,1.58,4.639,5.213,50.12,21.55
1/1/2017 6:00,0.853,1.54,4.617,5.007,49.12,21.55
1/1/2017 6:30,0.875,1.48,4.715,5.524,50.12,21.6
1/1/2017 7:00,0.89,1.32,4.611,7.469,51.12,21.45
1/1/2017 7:30,0.851,1.41,4.417,4.307,89.12,21.4
1/1/2017 8:00,0.84,1.41,4.48,7.815,81.12,21.3
1/1/2017 8:30,0.837,1.36,4.502,8.046,86.12,21.25
1/1/2017 9:00,0.831,1.34,4.498,7.344,81.12,21.25
1/1/2017 9:30,0.796,1.22,4.475,7.876,85.12,21.25
1/1/2017 10:00,0.759,1.21,4.533,7.548,85.12,21.35
1/1/2017 10:30,0.727,1.33,4.451,6.333,78.12,21.5
1/1/2017 11:00,0.785,1.46,4.352,7.048,85.12,22.15
1/1/2017 11:30,0.77,1.35,4.041,6.414,74.12,21.9
1/1/2017 12:00,0.798,1.3,4.064,7.548,71.12,21.8
1/1/2017 12:30,0.857,1.52,3.79,6.417,75.12,21.75
1/1/2017 13:00,0.871,1.43,3.958,6.519,68.12,21.9
1/1/2017 13:30,0.874,1.39,4.074,6.173,75.12,22.1
1/1/2017 14:00,0.845,1.56,3.988,6.585,82.12,21.85
1/1/2017 14:30,0.842,1.36,4.091,5.188,75.12,20.9
