Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2019-01-01 00:00:00,1.181,1.950,4.161,5.490,91.43,27.900
2019-01-01 00:30:00,1.184,2.070,4.224,4.405,87.43,27.850
2019-01-01 01:00:00,1.162,2.210,4.312,4.046,102.43,27.850
2019-01-01 01:30:00,1.162,2.190,4.121,4.688,88.43,27.850
2019-01-01 02:00:00,1.134,1.910,4.277,5.796,78.43,27.850
2019-01-01 02:30:00,1.040,1.790,4.107,5.338,78.43,27.850
2019-01-01 03:00:00,1.022,1.530,3.989,4.588,85.43,27.800
2019-01-01 03:30:00,0.976,1.530,4.079,5.418,82.43,27.850
2019-01-01 04:00:00,0.972,1.720,4.109,4.609,84.43,27.800
2019-01-01 04:30:00,0.988,1.590,4.121,5.456,82.43,27.800
2019-01-01 05:00:00,0.933,1.560,4.090,5.469,84.43,27.750
2019-01-01 05:30:00,0.900,1.570,4.014,5.612,84.43,27.750
2019-01-01 06:00:00,0.929,1.440,4.093,6.143,84.43,27.700
2019-01-01 06:30:00,0.907,1.480,4.004,4.723,78.43,27.700
2019-01-01 07:00:00,1.005,1.470,4.097,5.621,67.43,27.700
2019-01-01 07:30:00,0.933,1.420,4.071,4.822,84.43,27.700
2019-01-01 08:00:00,0.903,1.680,3.902,5.645,88.43,27.700
2019-01-01 08:30:00,0.884,1.360,3.921,6.152,81.43,27.750
2019-01-01 09:00:00,0.848,1.340,3.845,5.789,81.43,27.750
2019-01-01 09:30:00,0.849,1.290,3.950,6.199,90.43,27.750
2019-01-01 10:00:00,0.951,1.450,4.001,4.501,88.43,27.800
2019-01-01 10:30:00,1.026,1.710,3.965,4.807,90.43,27.850
2019-01-01 11:00:00,1.055,1.960,3.881,5.201,88.43,27.850
2019-01-01 11:30:00,1.076,1.760,3.909,4.631,98.43,27.900
2019-01-01 12:00:00,1.100,1.940,4.098,4.422,95.43,27.900
2019-01-01 12:30:00,1.024,1.710,3.890,4.689,99.43,27.950
2019-01-01 13:00:00,1.047,1.750,4.093,6.005,95.43,27.950
2019-01-01 13:30:00,1.035,1.720,4.068,5.991,94.43,27.950
2019-01-01 14:00:00,1.040,2.030,4.118,5.334,85.43,27.950
2019-01-01 14:30:00,1.048,2.030,3.870,4.112,90.43,27.950
2019-01-01 15:00:00,1.087,1.880,3.952,5.772,94.43,27.900
2019-01-01 15:30:00,1.136,1.820,3.980,5.041,91.43,27.850
2019-01-01 16:00:00,1.212,2.210,4.172,5.184,85.43,27.850
2019-01-01 16:30:00,1.290,2.450,4.132,5.389,90.43,27.800
2019-01-01 17:00:00,1.298,2.060,4.260,5.308,95.43,27.800
2019-01-01 17:30:00,1.255,2.460,4.328,6.119,94.43,27.800
2019-01-01 18:00:00,1.279,2.170,4.279,4.609,94.43,27.800
