Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1-1-2018 0:00,0.631,1.36,4.768,9.312,79.11,24.55
1-1-2018 0:30,0.626,1.02,4.749,6.737,105.11,24.55
1-1-2018 1:00,0.604,1.02,4.632,5.676,102.11,24.6
1-1-2018 1:30,0.652,1.13,4.959,6.182,129.11,24.55
1-1-2018 2:00,0.635,0.91,4.772,6.161,113.11,24.55
1-1-2018 2:30,0.677,1.12,4.784,6.001,120.11,24.5
1-1-2018 3:00,0.716,1.15,5.221,6.394,124.11,24.4
1-1-2018 3:30,0.692,1.56,5.045,6.35,119.11,24.3
1-1-2018 4:00,0.717,1.06,5.183,5.839,124.11,24.15
1-1-2018 4:30,0.685,1.29,5.117,5.998,120.11,23.9
1-1-2018 5:00,0.705,1.55,5.099,6.138,113.11,23.9
1-1-2018 5:30,0.712,1.36,5.225,6.29,112.11,23.8
1-1-2018 6:00,0.651,0.94,5.435,5.909,113.11,23.8
1-1-2018 6:30,0.684,1.09,5.3,6.33,113.11,23.8
1-1-2018 7:00,0.624,1.03,5.274,5.346,113.11,23.85
1-1-2018 7:30,0.635,1.04,5.534,5.664,109.11,23.95
1-1-2018 8:00,0.656,1,5.492,5.751,112.11,24.05
1-1-2018 8:30,0.646,1.05,5.569,5.804,106.11,24.05
1-1-2018 9:00,0.654,1.15,5.41,5.822,110.11,24.3
1-1-2018 9:30,0.621,0.96,5.325,6.176,113.11,24.25
1-1-2018 10:00,0.644,1.05,5.353,5.794,82.11,24.25
1-1-2018 10:30,0.63,0.98,5.618,10.325,108.11,24.05
1-1-2018 11:00,0.664,1.16,5.455,10.25,105.11,24.25
1-1-2018 11:30,0.675,0.94,5.484,5.835,109.11,24.3
1-1-2018 12:00,0.671,1.15,5.517,5.703,108.11,24.45
1-1-2018 12:30,0.637,1.04,5.341,10.214,105.11,24.35
1-1-2018 13:00,0.651,1.13,5.501,9.464,96.11,24.55
1-1-2018 13:30,0.678,1.06,5.443,9.726,84.11,24.5
1-1-2018 14:00,0.664,1.15,5.324,5.796,99.11,24.6
1-1-2018 14:30,0.666,1.15,5.288,5.343,113.11,24.6
1-1-2018 15:00,0.656,1.12,4.829,6.334,105.11,24.6
1-1-2018 15:30,0.644,1.09,4.827,6.396,103.11,24.55
1-1-2018 16:00,0.629,0.91,4.779,6.346,86.11,24.6
1-1-2018 16:30,0.639,1.06,4.853,5.835,108.11,24.7
1-1-2018 17:00,0.637,1.3,4.498,6.312,105.11,24.7
1-1-2018 17:30,0.614,1.01,4.665,6.306,113.11,24.8
1-1-2018 18:00,0.608,1.04,4.496,6.393,96.11,25.15
1-1-2018 18:30,0.618,0.99,4.473,5.977,103.11,24.95
1-1-2018 19:00,0.594,1,4.539,6.045,112.11,24.9
1-1-2018 19:30,0.618,1.06,4.673,6.519,110.11,24.85
1-1-2018 20:00,0.631,1.42,4.099,6.539,108.11,24.85
1-1-2018 20:30,0.646,1.03,4.249,6.575,82.11,24.7
1-1-2018 21:00,0.641,1.01,4.485,6.161,112.11,24.7
1-1-2018 21:30,0.614,1.02,4.614,6.129,89.11,24.4
1-1-2018 22:00,0.587,1,4.613,6.026,89.11,24.45
1-1-2018 22:30,0.558,0.93,4.695,6.173,115.11,24.4
1-1-2018 23:00,0.567,0.9,4.902,5.962,112.11,24.4
1-1-2018 23:30,0.578,1.05,5.085,6.573,108.11,24.35
1-2-2018 0:00,0.547,0.78,5.065,12.092,110.11,24.45
1-2-2018 0:30,0.569,0.95,4.843,6.006,85.11,24.5
1-2-2018 1:00,0.585,0.95,4.663,12.208,108.11,24.5
1-2-2018 1:30,0.585,0.9,4.745,5.993,82.11,24.5
1-2-2018 2:00,0.572,0.93,4.905,6.002,110.11,24.55
1-2-2018 2:30,0.577,0.98,4.759,5.841,82.11,24.5
1-2-2018 3:00,0.593,0.88,5.084,6.142,108.11,24.55
1-2-2018 3:30,0.626,0.89,5.286,5.906,113.11,24.55
1-2-2018 4:00,0.584,0.92,5.221,12.083,113.11,24.6
1-2-2018 4:30,0.674,1.17,5.291,6.143,86.11,24.7
1-2-2018 5:00,0.625,0.96,5.356,6.133,115.11,24.75
1-2-2018 5:30,0.628,0.99,5.392,6.155,113.11,24.75
1-2-2018 6:00,0.615,1.13,5.148,5.962,117.11,24.75
1-2-2018 6:30,0.66,1.08,5.304,6.004,110.11,24.75
1-2-2018 7:00,0.55,0.87,5.184,5.609,112.11,24.8
1-2-2018 7:30,0.582,1.12,5.326,11.452,112.11,24.8
1-2-2018 8:00,0.56,0.93,5.272,5.624,81.11,24.8
1-2-2018 8:30,0.561,1.04,5.114,5.795,89.11,24.9
1-2-2018 9:00,0.549,0.87,5.076,12.181,112.11,24.95
1-2-2018 9:30,0.552,1.06,5.166,5.641,99.11,25.1
1-2-2018 10:00,0.544,0.89,5.099,11.412,110.11,25.05
1-2-2018 10:30,0.57,0.89,5.067,12.876,91.11,25.3
1-2-2018 11:00,0.611,1.06,5.457,12.919,94.11,25.4
1-2-2018 11:30,0.612,0.98,4.736,5.962,92.11,25.25
1-2-2018 12:00,0.671,1.05,5.127,5.782,86.11,25.3
1-2-2018 12:30,0.694,1.32,5.122,5.38,124.11,25.5
1-2-2018 13:00,0.694,1.4,5.296,7.041,105.11,25.6
1-2-2018 13:30,0.742,1.11,5.395,5.801,120.11,25.55
1-2-2018 14:00,0.732,1.28,5.422,6.995,123.11,25.45
1-2-2018 14:30,0.708,1.08,5.348,6.133,91.11,25.35
1-2-2018 15:00,0.719,1.22,5.355,6.167,119.11,25.3
1-2-2018 15:30,0.719,1.09,5.147,6.325,115.11,25.25
1-2-2018 16:00,0.705,1.24,5.23,6.305,112.11,25.2
1-2-2018 16:30,0.69,1.15,5.024,5.629,113.11,25.15
1-2-2018 17:00,0.76,1.23,5.055,6.677,108.11,25.15
1-2-2018 17:30,0.792,1.36,4.452,6.407,102.11,25.15
1-2-2018 18:00,0.791,1.29,4.315,6.395,98.11,25.1
1-2-2018 18:30,0.825,1.32,4.314,6.526,96.11,25.15
1-2-2018 19:00,0.77,1.39,4.195,6.536,92.11,25.05
1-2-2018 19:30,0.784,1.38,4.527,6.338,96.11,25.05
1-2-2018 20:00,0.759,1.1,4.686,6.326,95.11,25
1-2-2018 20:30,0.725,1.13,4.602,6.328,98.11,25
1-2-2018 21:00,0.74,1.29,4.352,5.813,96.11,24.9
1-2-2018 21:30,0.733,1.29,4.394,5.802,101.11,24.85
1-2-2018 22:00,0.849,1.38,4.093,4.7,92.11,24.75
1-2-2018 22:30,1.072,1.77,4.292,5.183,98.11,24.7
1-2-2018 23:00,1.149,2.06,4.356,5.671,96.11,24.65
1-2-2018 23:30,1.187,1.9,4.5,5.6,101.11,24.4
1-3-2018 0:00,1.161,2.18,4.58,5.94,106.11,24.3
1-3-2018 0:30,1.048,1.9,4.528,5.804,99.11,24.45
