Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2019-01-01 00:00:00,1.219,2.070,5.995,8.872,78.09,-99.9
2019-01-01 00:30:00,1.270,2.240,5.905,8.827,78.09,-99.9
2019-01-01 01:00:00,1.225,2.010,5.594,8.407,79.09,-99.9
2019-01-01 01:30:00,1.218,2.000,5.781,8.891,78.09,-99.9
2019-01-01 02:00:00,1.156,1.850,5.429,8.224,77.09,-99.9
2019-01-01 02:30:00,1.335,2.090,5.758,8.228,81.09,-99.9
2019-01-01 03:00:00,1.276,2.250,5.709,8.655,78.09,-99.9
2019-01-01 03:30:00,1.304,2.310,5.847,8.781,77.09,-99.9
2019-01-01 04:00:00,1.308,2.120,6.027,8.816,74.09,-99.9
2019-01-01 04:30:00,1.348,1.960,6.155,8.469,77.09,-99.9
2019-01-01 05:00:00,1.345,2.160,6.207,8.720,78.09,-99.9
2019-01-01 05:30:00,1.433,2.650,5.957,8.612,79.09,-99.9
2019-01-01 06:00:00,1.300,2.350,5.749,8.850,78.09,-99.9
2019-01-01 06:30:00,1.329,2.110,5.967,8.796,75.09,-99.9
2019-01-01 07:00:00,1.324,2.130,5.921,8.700,78.09,-99.9
2019-01-01 07:30:00,1.332,2.610,5.929,8.959,77.09,-99.9
2019-01-01 08:00:00,1.339,2.340,5.799,8.521,77.09,-99.9
2019-01-01 08:30:00,1.331,2.190,6.105,9.140,79.09,-99.9
2019-01-01 09:00:00,1.353,2.470,6.331,8.832,77.09,-99.9
2019-01-01 09:30:00,1.387,2.510,6.240,9.606,74.09,-99.9
2019-01-01 10:00:00,1.325,2.370,5.855,9.353,82.09,-99.9
2019-01-01 10:30:00,1.277,2.170,6.088,8.531,82.09,-99.9
2019-01-01 11:00:00,1.280,2.140,6.007,8.845,81.09,-99.9
2019-01-01 11:30:00,1.260,2.060,5.977,9.593,82.09,-99.9
2019-01-01 12:00:00,1.338,2.250,5.918,9.186,81.09,-99.9
2019-01-01 12:30:00,1.281,2.140,5.802,8.922,82.09,-99.9
2019-01-01 13:00:00,1.277,1.840,5.700,8.952,82.09,-99.9
2019-01-01 13:30:00,1.210,2.120,5.716,9.281,78.09,-99.9
2019-01-01 14:00:00,1.373,2.530,5.890,9.334,84.09,-99.9
2019-01-01 14:30:00,1.235,2.090,5.929,9.111,81.09,-99.9
2019-01-01 15:00:00,1.154,1.830,5.465,8.740,77.09,-99.9
2019-01-01 15:30:00,1.235,2.110,5.781,8.980,81.09,-99.9
2019-01-01 16:00:00,1.243,2.280,6.013,9.723,78.09,-99.9
2019-01-01 16:30:00,1.295,1.930,5.734,9.711,74.09,-99.9
2019-01-01 17:00:00,1.292,2.150,5.511,9.340,78.09,-99.9
2019-01-01 17:30:00,1.360,2.130,5.799,9.328,81.09,-99.9
2019-01-01 18:00:00,1.303,2.330,5.780,9.497,82.09,-99.9
2019-01-01 18:30:00,1.297,2.230,5.880,9.719,81.09,-99.9
2019-01-01 19:00:00,1.322,2.130,5.883,9.754,81.09,-99.9
2019-01-01 19:30:00,1.223,1.980,5.785,9.471,79.09,-99.9
2019-01-01 20:00:00,1.307,1.910,6.074,9.002,84.09,-99.9
2019-01-01 20:30:00,1.240,1.990,5.912,9.402,81.09,-99.9
2019-01-01 21:00:00,1.148,2.090,5.789,9.373,84.09,-99.9
2019-01-01 21:30:00,1.226,2.470,5.873,8.645,81.09,-99.9
2019-01-01 22:00:00,1.211,2.030,6.143,9.355,82.09,-99.9
2019-01-01 22:30:00,1.159,1.930,5.791,8.945,82.09,-99.9
2019-01-01 23:00:00,1.061,2.250,5.885,9.385,84.09,-99.9
2019-01-01 23:30:00,1.163,2.000,6.067,8.939,89.09,-99.9
2019-01-02 00:00:00,1.191,2.080,6.112,8.280,84.09,-99.9
2019-01-02 00:30:00,1.182,1.880,6.379,9.508,85.09,-99.9
2019-01-02 01:00:00,1.255,2.160,6.268,8.942,82.09,-99.9
2019-01-02 01:30:00,1.210,1.770,6.652,8.934,86.09,-99.9
2019-01-02 02:00:00,1.216,2.170,6.429,9.091,85.09,-99.9
2019-01-02 02:30:00,1.231,2.070,6.333,9.170,82.09,-99.9
2019-01-02 03:00:00,1.300,2.500,6.430,8.928,82.09,-99.9
2019-01-02 03:30:00,1.341,2.520,6.632,8.607,78.09,-99.9
2019-01-02 04:00:00,1.304,2.420,6.536,9.216,79.09,-99.9
2019-01-02 04:30:00,1.169,1.780,6.283,8.683,81.09,-99.9
2019-01-02 05:00:00,1.324,2.210,6.356,8.865,79.09,-99.9
2019-01-02 05:30:00,1.257,2.270,6.524,8.712,78.09,-99.9
2019-01-02 06:00:00,1.349,2.840,6.456,9.749,86.09,-99.9
2019-01-02 06:30:00,1.390,2.420,6.648,8.941,79.09,-99.9
2019-01-02 07:00:00,1.328,2.140,6.662,9.265,82.09,-99.9
2019-01-02 07:30:00,1.242,1.780,6.657,9.013,82.09,-99.9
2019-01-02 08:00:00,1.569,2.710,7.110,9.663,78.09,-99.9
2019-01-02 08:30:00,1.349,1.930,7.150,9.734,86.09,-99.9
2019-01-02 09:00:00,1.305,2.410,6.275,8.794,82.09,-99.9
2019-01-02 09:30:00,1.341,2.210,6.425,9.755,81.09,-99.9
2019-01-02 10:00:00,1.228,2.150,6.189,8.997,84.09,-99.9
2019-01-02 10:30:00,1.363,2.710,6.513,9.714,85.09,-99.9
2019-01-02 11:00:00,1.261,2.150,6.532,10.222,86.09,-99.9
2019-01-02 11:30:00,1.220,2.150,6.336,9.843,85.09,-99.9
2019-01-02 12:00:00,1.333,2.330,6.568,8.949,78.09,-99.9
2019-01-02 12:30:00,1.241,2.280,6.323,9.304,81.09,-99.9
2019-01-02 13:00:00,1.225,2.360,6.251,8.981,84.09,-99.9
2019-01-02 13:30:00,1.227,2.210,6.275,9.800,81.09,-99.9
2019-01-02 14:00:00,1.183,2.010,6.478,10.207,86.09,-99.9
2019-01-02 14:30:00,1.171,2.070,6.113,9.796,82.09,-99.9
2019-01-02 15:00:00,1.259,2.350,6.126,9.836,75.09,-99.9
2019-01-02 15:30:00,1.223,2.470,5.888,9.725,81.09,-99.9
2019-01-02 16:00:00,1.204,1.920,6.155,9.895,84.09,-99.9
2019-01-02 16:30:00,1.274,2.040,6.153,9.431,84.09,-99.9
2019-01-02 17:00:00,1.316,2.070,6.281,9.672,88.09,-99.9
2019-01-02 17:30:00,1.204,2.090,5.877,10.232,79.09,-99.9
2019-01-02 18:00:00,1.278,2.050,6.238,9.361,88.09,-99.9
2019-01-02 18:30:00,1.212,1.960,6.274,9.161,84.09,-99.9
2019-01-02 19:00:00,1.239,2.010,5.937,9.255,91.09,-99.9
2019-01-02 19:30:00,1.347,2.160,6.038,9.703,86.09,-99.9
2019-01-02 20:00:00,1.228,2.420,6.282,9.364,91.09,-99.9
2019-01-02 20:30:00,1.186,1.840,6.178,10.176,91.09,-99.9
2019-01-02 21:00:00,1.183,1.950,6.278,9.366,82.09,-99.9
2019-01-02 21:30:00,1.266,1.920,6.511,9.515,84.09,-99.9
2019-01-02 22:00:00,1.130,1.980,5.770,9.712,82.09,-99.9
2019-01-02 22:30:00,1.222,1.790,6.289,8.958,92.09,-99.9
2019-01-02 23:00:00,1.198,2.300,6.240,9.683,82.09,-99.9
2019-01-02 23:30:00,1.189,2.420,6.198,9.274,88.09,-99.9
2019-01-03 00:00:00,1.280,2.320,6.411,9.478,92.09,-99.9
2019-01-03 00:30:00,1.142,2.070,6.153,8.588,86.09,-99.9
2019-01-03 01:00:00,1.274,1.930,6.383,9.876,88.09,-99.9
2019-01-03 01:30:00,1.266,2.240,6.586,9.008,88.09,-99.9
2019-01-03 02:00:00,1.325,1.940,6.450,9.212,91.09,-99.9
2019-01-03 02:30:00,1.352,2.310,6.581,9.654,81.09,-99.9
2019-01-03 03:00:00,1.217,2.030,6.696,9.365,81.09,-99.9
2019-01-03 03:30:00,1.314,1.960,6.433,9.685,79.09,-99.9
2019-01-03 04:00:00,1.259,2.550,6.247,8.597,81.09,-99.9
2019-01-03 04:30:00,1.259,2.150,6.449,10.346,78.09,-99.9
2019-01-03 05:00:00,1.344,2.240,6.561,10.310,84.09,-99.9
2019-01-03 05:30:00,1.342,2.200,6.737,8.678,81.09,-99.9
2019-01-03 06:00:00,1.360,1.920,6.504,9.629,82.09,-99.9
2019-01-03 06:30:00,1.351,2.170,6.597,10.330,82.09,-99.9
2019-01-03 07:00:00,1.334,1.910,6.643,10.439,79.09,-99.9
2019-01-03 07:30:00,1.390,2.010,6.304,8.560,78.09,-99.9
2019-01-03 08:00:00,1.360,2.090,6.139,9.375,78.09,-99.9
2019-01-03 08:30:00,1.371,2.300,6.483,9.913,88.09,-99.9
2019-01-03 09:00:00,1.344,2.260,6.196,9.893,85.09,-99.9
2019-01-03 09:30:00,1.335,2.400,5.767,10.052,86.09,-99.9
2019-01-03 10:00:00,1.454,2.270,6.081,9.808,78.09,-99.9
2019-01-03 10:30:00,1.432,2.190,6.044,10.252,82.09,-99.9
2019-01-03 11:00:00,1.427,2.480,6.115,8.995,85.09,-99.9
2019-01-03 11:30:00,1.411,2.620,5.685,10.197,85.09,-99.9
2019-01-03 12:00:00,1.334,2.110,5.876,9.746,84.09,-99.9
2019-01-03 12:30:00,1.383,2.660,6.149,9.429,85.09,-99.9
2019-01-03 13:00:00,1.401,2.300,6.081,10.556,86.09,-99.9
2019-01-03 13:30:00,1.285,2.400,5.991,9.365,88.09,-99.9
2019-01-03 14:00:00,1.290,2.260,6.136,9.303,88.09,-99.9
2019-01-03 14:30:00,1.299,2.070,6.082,10.309,88.09,-99.9
2019-01-03 15:00:00,1.247,2.130,5.885,8.959,88.09,-99.9
2019-01-03 15:30:00,1.250,2.310,5.831,10.260,85.09,-99.9
2019-01-03 16:00:00,1.224,2.190,5.787,10.382,81.09,-99.9
2019-01-03 16:30:00,1.295,2.050,5.878,10.115,88.09,-99.9
2019-01-03 17:00:00,1.366,2.620,5.854,7.271,91.09,-99.9
2019-01-03 17:30:00,1.279,1.850,5.764,7.589,89.09,-99.9
2019-01-03 18:00:00,1.215,1.850,5.859,9.853,94.09,-99.9
2019-01-03 18:30:00,1.222,2.050,5.993,8.562,92.09,-99.9
2019-01-03 19:00:00,1.286,2.000,6.017,10.645,94.09,-99.9
2019-01-03 19:30:00,1.302,2.020,5.989,10.341,88.09,-99.9
2019-01-03 20:00:00,1.255,2.030,6.027,9.680,88.09,-99.9
2019-01-03 20:30:00,1.254,1.860,5.975,7.377,84.09,-99.9
2019-01-03 21:00:00,1.356,2.540,6.155,8.754,71.09,-99.9
2019-01-03 21:30:00,1.268,2.130,5.841,10.308,88.09,-99.9
2019-01-03 22:00:00,1.180,2.070,5.665,9.001,89.09,-99.9
2019-01-03 22:30:00,1.356,2.310,5.832,7.069,81.09,-99.9
2019-01-03 23:00:00,1.342,1.880,5.670,9.064,71.09,-99.9
2019-01-03 23:30:00,1.372,2.050,5.558,8.954,84.09,-99.9
2019-01-04 00:00:00,1.461,2.200,5.517,9.001,88.09,-99.9
2019-01-04 00:30:00,1.347,2.450,5.453,8.485,85.09,-99.9
2019-01-04 01:00:00,1.392,2.200,5.640,10.152,88.09,-99.9
2019-01-04 01:30:00,1.385,2.460,5.689,9.772,89.09,-99.9
2019-01-04 02:00:00,1.374,2.360,5.633,9.248,86.09,-99.9
2019-01-04 02:30:00,1.419,2.220,5.868,6.592,95.09,-99.9
2019-01-04 03:00:00,1.345,2.520,5.261,9.772,86.09,-99.9
2019-01-04 03:30:00,1.496,2.300,5.422,8.442,84.09,-99.9
2019-01-04 04:00:00,1.394,2.290,5.680,8.207,88.09,-99.9
2019-01-04 04:30:00,1.414,2.300,5.564,10.189,88.09,-99.9
2019-01-04 05:00:00,1.364,2.250,5.634,8.953,82.09,-99.9
2019-01-04 05:30:00,1.404,2.660,5.642,7.587,84.09,-99.9
2019-01-04 06:00:00,1.471,2.320,5.758,9.755,71.09,-99.9
